candidate_id,rank,score,reasoning
CAND_0030468,1,9.402256594140,"5.4 yrs Senior Applied Scientist at Swiggy; career evidence in large-scale relevance systems, ranking/retrieval systems, ranking decisions. Logistics/signals: Indore, Madhya Pradesh, 78% response rate, ranking-eval signal."
CAND_0006567,2,9.333288867216,"7.9 yrs Senior AI Engineer at Meta; career evidence in large-scale relevance systems, ranking/retrieval systems, ranking decisions. Logistics/signals: Noida, Uttar Pradesh, 79% response rate, ranking-eval signal."
CAND_0011687,3,9.246657492227,"7.8 yrs Senior NLP Engineer at Niramai; career evidence in offline ranking metrics, end-to-end intelligence layer ownership, hybrid retrieval. Logistics/signals: Indore, Madhya Pradesh, 15d notice, 89% response rate, ranking-eval signal."
CAND_0080766,4,9.105592259018,"8.8 yrs Staff Machine Learning Engineer at Salesforce; career evidence in large-scale relevance systems, ranking/retrieval systems, ranking decisions. Logistics/signals: Coimbatore, Tamil Nadu, 0d notice, ranking-eval signal."
CAND_0037980,5,9.087872185755,"9.0 yrs Senior Applied Scientist at Niramai; career evidence in large-scale relevance systems, ranking/retrieval systems, ranking decisions. Logistics/signals: Kolkata, West Bengal, 0d notice, ranking-eval signal."
CAND_0046064,6,9.081798381193,"8.9 yrs Senior NLP Engineer at Salesforce; career evidence in matching pipeline, offline ranking metrics, end-to-end intelligence layer ownership. Logistics/signals: Coimbatore, Tamil Nadu, 30d notice, 78% response rate, ranking-eval signal."
CAND_0011162,7,8.971183274280,"5.8 yrs Recommendation Systems Engineer at upGrad; career evidence in offline ranking metrics, drift detection, vector search. Logistics/signals: Coimbatore, Tamil Nadu, 75% response rate, ranking-eval signal."
CAND_0071974,8,8.963990873564,"7.8 yrs Senior AI Engineer at Netflix; career evidence in offline ranking metrics, offline experimentation, end-to-end intelligence layer ownership. Logistics/signals: Vizag, Andhra Pradesh, 76% response rate, ranking-eval signal."
CAND_0077337,9,8.888690155304,"7.0 yrs Staff Machine Learning Engineer at Paytm; career evidence in offline experimentation, end-to-end intelligence layer ownership, hybrid retrieval. Logistics/signals: Kochi, Kerala, 95% response rate, ranking-eval signal."
CAND_0006418,10,8.865151119500,"5.7 yrs Machine Learning Engineer at Verloop.io; career evidence in offline ranking metrics, drift detection, semantic search. Logistics/signals: Gurgaon, Haryana, 92% response rate, ranking-eval signal."
CAND_0077285,11,8.766150578516,"5.5 yrs Recommendation Systems Engineer at Nykaa; career evidence in offline ranking metrics, drift detection, information retrieval. Logistics/signals: Ahmedabad, Gujarat, ranking-eval signal."
CAND_0002025,12,8.728212626554,"5.9 yrs Senior AI Engineer at Apple; career evidence in offline experimentation, end-to-end intelligence layer ownership, hybrid retrieval. Logistics/signals: Trivandrum, Kerala, 30d notice, 80% response rate, ranking-eval signal."
CAND_0018499,13,8.654350767286,"7.2 yrs Senior Machine Learning Engineer at Zomato; career evidence in end-to-end intelligence layer ownership, hybrid retrieval, dense vector. Logistics/signals: Noida, Uttar Pradesh, 15d notice, ranking-eval signal."
CAND_0081846,14,8.614491701860,"6.7 yrs Lead AI Engineer at Razorpay; career evidence in matching pipeline, end-to-end intelligence layer ownership, hybrid retrieval. Logistics/signals: Jaipur, Rajasthan, 30d notice, 73% response rate, ranking-eval signal."
CAND_0061257,15,8.550267278024,"8.0 yrs Staff Machine Learning Engineer at LinkedIn; career evidence in large-scale relevance systems, ranking/retrieval systems, ranking decisions. Logistics/signals: Noida, Uttar Pradesh, 30d notice, 87% response rate, ranking-eval signal."
CAND_0046525,16,8.525318553910,"6.1 yrs Senior Machine Learning Engineer at Genpact AI; career evidence in end-to-end intelligence layer ownership, hybrid retrieval, dense vector. Logistics/signals: Pune, Maharashtra, 88% response rate, ranking-eval signal."
CAND_0030031,17,8.453777809046,"5.7 yrs AI Engineer at Microsoft; career evidence in offline ranking metrics, drift detection, vector search. Logistics/signals: Trivandrum, Kerala, 30d notice, 94% response rate, ranking-eval signal."
